Time,Plasma/ CSF/ ER Nicotine,Sequestered Nicotine,Fraction of Activated nAChR,Fraction of Chaperoned nAChR
3.97332543893305e-06,0.00619809790971726,3.79965616388556e-08,6.83449753433658e-07,7.36655383074939e-07
4.67564324882353e-06,0.00729360351897188,5.26158112918961e-08,9.33764006240795e-07,1.01955590779634e-06
5.37796105871401e-06,0.00838909183947616,6.9609156142077e-08,1.21895325971488e-06,1.34814280357165e-06
6.0802788686045e-06,0.00948456302253644,8.89765568871816e-08,1.53757789492888e-06,1.72234412370984e-06
6.78259667849498e-06,0.0105800172135229,1.10717974545743e-07,1.88825752938311e-06,2.1420880341532e-06
7.48491448838546e-06,0.0116754545521048,1.34833370444768e-07,2.2696686644038e-06,2.60730281257913e-06
8.6398688827171e-06,0.0134768536647311,1.79652810037714e-07,2.9603879300875e-06,3.47102727360089e-06
9.79482327704874e-06,0.0152782081299976,2.30892036268364e-07,3.72546385705961e-06,4.45720926578702e-06
1.09497776713804e-05,0.0170795184781691,2.88550882089247e-07,4.55991717298387e-06,5.56553177166412e-06
1.2104732065712e-05,0.0188807852061384,3.52629182279967e-07,5.45910145254941e-06,6.79567857581189e-06
1.32596864600437e-05,0.020682008779844,4.2312677332253e-07,6.41867895045085e-06,8.14733426025995e-06
1.50256741486894e-05,0.0234360945165835,5.43332924740944e-07,7.99357457590014e-06,1.04483145588455e-05
1.67916618373352e-05,0.0261900818130933,6.78546468190842e-07,9.68701554475218e-06,1.30315268003031e-05
1.8557649525981e-05,0.0289439719763901,8.28766839041714e-07,1.14870700588262e-05,1.58958540784699e-05
2.03236372146267e-05,0.0316977661930318,9.93993479454782e-07,1.33830063836032e-05,1.9040183746959e-05
2.20896249032725e-05,0.034451465540995,1.17422583776998e-06,1.53651741282746e-05,2.24634073918715e-05
2.38556125919183e-05,0.0372050710006747,1.36946336793801e-06,1.74248942879484e-05,2.61644208053259e-05
2.5621600280564e-05,0.0399585834648452,1.57970552900592e-06,1.95543596927175e-05,3.01421239602199e-05
2.73875879692098e-05,0.0427120037474473,1.80495178466301e-06,2.17465471638635e-05,3.43954209863969e-05
2.91535756578555e-05,0.0454653325913829,2.04520160283785e-06,2.39951396163687e-05,3.89232201479056e-05
3.18687317466556e-05,0.049698320940591,2.44384431582314e-06,2.75494280289379e-05,4.64175391555136e-05
3.45838878354557e-05,0.0539310969428879,2.87794958701818e-06,3.12056953050252e-05,5.45542278216286e-05
3.72990439242558e-05,0.0581636625339026,3.3475155300517e-06,3.49485679535732e-05,6.33293749109478e-05
4.00142000130559e-05,0.0623960194161669,3.85254027375346e-06,3.87649803435224e-05,7.27390917055251e-05
4.2729356101856e-05,0.0666281690927392,4.39302196040704e-06,4.26438386973084e-05,8.27795118463112e-05
4.54445121906561e-05,0.0708601128970026,4.96895874419939e-06,4.65757233235698e-05,9.34467911792972e-05
4.81596682794562e-05,0.0750918520185917,5.58034878986968e-06,5.05526295483577e-05,0.000104737107606282
5.08748243682563e-05,0.0793233875249451,6.22719027158307e-06,5.45677523796735e-05,0.000116646660940841
5.35899804570564e-05,0.0835547203790793,6.909481371999e-06,5.86153089453002e-05,0.000129171672768902
5.63051365458565e-05,0.0877858514547174,7.62722028147562e-06,6.26903873683606e-05,0.000142308386312741
6.04893292335484e-05,0.0943058449263977,8.80269284424655e-06,6.90147447197909e-05,0.000163741777185239
6.46735219212402e-05,0.100825363710493,1.00623373173623e-05,7.53822748626841e-05,0.000186605423954915
6.88577146089321e-05,0.107344410149618,1.14061471647085e-05,8.178325074979e-05,0.000210885875118272
7.3041907296624e-05,0.113862986359253,1.28341158788771e-05,8.82100972363578e-05,0.000236569797518872
7.72260999843159e-05,0.120381094272545,1.43462369787148e-05,9.46569441836804e-05,0.000263643975291562
8.14102926720078e-05,0.126898735678842,1.59425040071959e-05,0.000101119242277709,0.000292095308820555
8.55944853596997e-05,0.133415912255323,1.76229105296497e-05,0.000107593447762507,0.000321910813712469
8.97786780473916e-05,0.1399326255901,1.93874501324291e-05,0.000114076792558347,0.000353077619786927
9.39628707350835e-05,0.146448877198629,2.12361164219242e-05,0.000120567121136612,0.000385582970082768
9.81470634227754e-05,0.152964668536686,2.31689030237535e-05,0.000127062761789427,0.000419414219875969
0.000105106704622308,0.163801483029694,2.65700478383871e-05,0.000137875481583932,0.000478589311568306
0.000112066345821841,0.174637034244228,3.02038753235432e-05,0.000148695124101941,0.000541341037782254
0.000119025987021374,0.185471328197374,3.40703564713747e-05,0.000159518786312115,0.000607613228559325
0.000125985628220907,0.196304370726397,3.81694624013613e-05,0.000170344538086812,0.000677350534278638
0.00013294526942044,0.207136167516812,4.25011643571706e-05,0.000181171153309469,0.000750498413985017
0.000139904910619972,0.217966724128365,4.7065433703647e-05,0.000191997861719578,0.000827003123858552
0.000153384006759206,0.23893931518216,5.65665768388158e-05,0.000212965095243577,0.000984523205611
0.00016686310289844,0.259907313332678,6.69397690151762e-05,0.000233928850024814,0.00115406028031286
0.000180342199037673,0.280870756076742,7.81848058801566e-05,0.000254887806160777,0.00133524842729041
0.000193821295176907,0.301829679807871,9.03014846200659e-05,0.000275841308210764,0.00152773203469026
0.000207300391316141,0.322784119839183,0.000103289603918026,0.000296789419328207,0.00173116551785573
0.000220779487455374,0.34373411048328,0.000117148963909926,0.000317732399438189,0.0019452130440702
0.000234258583594608,0.36467968512466,0.000131879366141724,0.000338670251590857,0.00216954826376469
0.000257768053202387,0.401201288632401,0.000159655185777488,0.000375176541561429,0.00258449814189985
0.000281277522810167,0.43770972251483,0.000190079110979176,0.000411666935764282,0.00302816551537187
0.000304786992417946,0.474205144566631,0.000223150117448219,0.000448141079084156,0.00349901146452312
0.000328296462025725,0.510687704948335,0.000258867192082411,0.00048459923024723,0.00399557236239995
0.000351805931633505,0.547157546562532,0.000297229332442945,0.000521042080845827,0.00451645631424237
0.000375315401241284,0.58361480548023,0.00033823554623916,0.000557469935167945,0.00506033973413075
0.000398824870849063,0.620059611277363,0.000381884850838861,0.00059388264566333,0.00562596406358744
